,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,FDA15,9.3,Low Fat,Low,Dairy,249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.14
1,DRC01,5.92,Regular,Low,Soft Drinks,48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.42
2,FDN15,17.5,Low Fat,Low,Meat,141.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
3,FDX07,19.2,Regular,High,Fruits and Vegetables,182.1,OUT010,1998,NA,Tier 3,Grocery Store,732.38
4,NCD19,8.93,Low Fat,High,Household,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,994.71
5,FDP36,10.395,Regular,High,Baking Goods,51.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.61
6,FDO10,13.65,Regular,Low,Snack Foods,57.66,OUT013,1987,High,Tier 3,Supermarket Type1,343.55
7,FDP10,12.6,Low Fat,High,Snack Foods,107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.76
8,FDH17,16.2,Regular,Low,Frozen Foods,96.97,OUT045,2002,NA,Tier 2,Supermarket Type1,1076.6
9,FDU28,19.2,Regular,High,Frozen Foods,187.82,OUT017,2007,NA,Tier 2,Supermarket Type1,4710.54
10,FDY07,11.8,Low Fat,High,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.03
11,FDA03,18.5,Regular,High,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.15
12,FDX32,15.1,Regular,High,Fruits and Vegetables,145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.26
13,FDS46,17.6,Regular,High,Snack Foods,119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.21
14,FDF32,16.35,Low Fat,High,Fruits and Vegetables,196.44,OUT013,1987,High,Tier 3,Supermarket Type1,1977.43
15,FDP49,9.0,Regular,High,Breakfast,56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.32
16,NCB42,11.8,Low Fat,Low,Health and Hygiene,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.89
17,FDP49,9.0,Regular,High,Breakfast,54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.4
18,DRI11,12.6,Low Fat,Low,Hard Drinks,113.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.67
19,FDU02,13.35,Low Fat,High,Dairy,230.54,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.42
20,FDN22,18.85,Regular,High,Snack Foods,250.87,OUT013,1987,High,Tier 3,Supermarket Type1,3775.09
21,FDW12,12.6,Regular,Low,Baking Goods,144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.04
22,NCB30,14.6,Low Fat,Low,Household,196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.27
23,FDC37,12.6,Low Fat,High,Baking Goods,107.69,OUT019,1985,Small,Tier 1,Grocery Store,214.39
24,FDR28,13.85,Regular,Low,Frozen Foods,165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.02
25,NCD06,13.0,Low Fat,High,Household,45.91,OUT017,2007,NA,Tier 2,Supermarket Type1,838.91
26,FDV10,7.645,Regular,High,Snack Foods,42.31,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
27,DRJ59,11.65,low fat,Low,Hard Drinks,39.12,OUT013,1987,High,Tier 3,Supermarket Type1,308.93
28,FDE51,5.925,Regular,High,Dairy,45.51,OUT010,1998,NA,Tier 3,Grocery Store,178.43
29,FDC14,12.6,Regular,High,Canned,43.65,OUT019,1985,Small,Tier 1,Grocery Store,125.84
30,FDV38,19.25,Low Fat,High,Dairy,55.8,OUT010,1998,NA,Tier 3,Grocery Store,163.79
31,NCS17,18.6,Low Fat,High,Health and Hygiene,96.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.76
