Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,9.3,Low Fat,Low,Dairy,249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.14
DRC01,5.92,Regular,Low,Soft Drinks,48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.42
FDN15,17.5,Low Fat,Low,Meat,141.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27
FDX07,19.2,Regular,High,Fruits and Vegetables,182.1,OUT010,1998,NA,Tier 3,Grocery Store,732.38
NCD19,8.93,Low Fat,High,Household,53.86,OUT013,1987,Large,Tier 3,Supermarket Type1,994.71
FDP36,10.4,Regular,High,Baking Goods,51.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.61
FDO10,13.65,Regular,Low,Snack Foods,57.66,OUT013,1987,Large,Tier 3,Supermarket Type1,343.55
FDP10,12.6,Low Fat,High,Snack Foods,107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.76
FDH17,16.2,Regular,Low,Frozen Foods,96.97,OUT045,2002,NA,Tier 2,Supermarket Type1,1076.6
FDU28,19.2,Regular,High,Frozen Foods,187.82,OUT017,2007,NA,Tier 2,Supermarket Type1,4710.54
FDY07,11.8,Low Fat,High,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.03
FDA03,18.5,Regular,High,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.15
FDX32,15.1,Regular,High,Fruits and Vegetables,145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.26
FDS46,17.6,Regular,High,Snack Foods,119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.21
FDF32,16.35,Low Fat,High,Fruits and Vegetables,196.44,OUT013,1987,Large,Tier 3,Supermarket Type1,1977.43
FDP49,9.0,Regular,High,Breakfast,56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.32
NCB42,11.8,Low Fat,Low,Health and Hygiene,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.89
FDP49,9.0,Regular,High,Breakfast,54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.4
DRI11,12.6,Low Fat,Low,Hard Drinks,113.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.67
FDU02,13.35,Low Fat,High,Dairy,230.54,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.42
FDN22,18.85,Regular,High,Snack Foods,250.87,OUT013,1987,Large,Tier 3,Supermarket Type1,3775.09
FDW12,12.6,Regular,Low,Baking Goods,144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.04
NCB30,14.6,Low Fat,Low,Household,196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.27
FDC37,12.6,Low Fat,High,Baking Goods,107.69,OUT019,1985,Small,Tier 1,Grocery Store,214.39
FDR28,13.85,Regular,Low,Frozen Foods,165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.02
NCD06,13.0,Low Fat,High,Household,45.91,OUT017,2007,NA,Tier 2,Supermarket Type1,838.91
FDV10,7.64,Regular,High,Snack Foods,42.31,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
DRJ59,11.65,low fat,Low,Hard Drinks,39.12,OUT013,1987,Large,Tier 3,Supermarket Type1,308.93
FDE51,5.92,Regular,High,Dairy,45.51,OUT010,1998,NA,Tier 3,Grocery Store,178.43
FDC14,12.6,Regular,High,Canned,43.65,OUT019,1985,Small,Tier 1,Grocery Store,125.84
FDV38,19.25,Low Fat,High,Dairy,55.8,OUT010,1998,NA,Tier 3,Grocery Store,163.79
NCS17,18.6,Low Fat,High,Health and Hygiene,96.44,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.76
FDP33,18.7,Low Fat,High,Snack Foods,256.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.01
FDO23,17.85,Low Fat,High,Breads,93.14,OUT045,2002,NA,Tier 2,Supermarket Type1,2174.5
DRH01,17.5,Low Fat,High,Soft Drinks,174.87,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.29
NCX29,10.0,Low Fat,High,Health and Hygiene,146.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.07
FDV20,12.6,Regular,High,Fruits and Vegetables,128.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.69
DRZ11,8.85,Regular,High,Soft Drinks,122.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9
FDX10,12.6,Regular,High,Snack Foods,36.99,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.16
FDB34,12.6,Low Fat,Low,Snack Foods,87.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.5
FDU02,13.35,Low Fat,High,Dairy,230.64,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.53
FDK43,9.8,Low Fat,Low,Meat,126.0,OUT013,1987,Large,Tier 3,Supermarket Type1,2150.53
FDA46,13.6,Low Fat,High,Snack Foods,192.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.38
FDC02,21.35,Low Fat,High,Canned,259.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.52
FDL50,12.15,Regular,Low,Canned,126.5,OUT013,1987,Large,Tier 3,Supermarket Type1,373.51
FDM39,6.42,Low Fat,High,Dairy,178.1,OUT010,1998,NA,Tier 3,Grocery Store,358.2
NCP05,19.6,Low Fat,High,Health and Hygiene,153.3,OUT045,2002,NA,Tier 2,Supermarket Type1,2428.84
FDV49,10.0,Low Fat,Low,Canned,265.22,OUT045,2002,NA,Tier 2,Supermarket Type1,5815.1
FDL12,15.85,Regular,High,Baking Goods,60.62,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.65
FDS02,12.6,Regular,High,Dairy,196.88,OUT019,1985,Small,Tier 1,Grocery Store,780.32
NCL17,7.39,Low Fat,High,Health and Hygiene,143.88,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.59
FDM40,10.2,Low Fat,High,Frozen Foods,141.52,OUT013,1987,Large,Tier 3,Supermarket Type1,850.89
FDR13,9.9,Regular,Low,Canned,117.05,OUT013,1987,Large,Tier 3,Supermarket Type1,810.94
FDA43,10.9,Low Fat,High,Fruits and Vegetables,196.38,OUT017,2007,NA,Tier 2,Supermarket Type1,3121.27
NCP18,12.15,Low Fat,Low,Household,151.47,OUT017,2007,NA,Tier 2,Supermarket Type1,4815.07
FDK21,7.9,Low Fat,Low,Snack Foods,249.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,9.2,Low Fat,High,Household,106.16,OUT045,2002,NA,Tier 2,Supermarket Type1,2117.24
DRK35,8.36,Low Fat,High,Hard Drinks,38.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.96
FDY21,15.1,Low Fat,High,Snack Foods,194.51,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.27
FDI26,12.6,Low Fat,High,Canned,180.03,OUT019,1985,Small,Tier 1,Grocery Store,892.17
FDM20,10.0,Low Fat,High,Fruits and Vegetables,246.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.19
FDV27,7.97,Regular,Low,Meat,87.35,OUT045,2002,NA,Tier 2,Supermarket Type1,1062.62
FDF09,12.6,Low Fat,Low,Fruits and Vegetables,38.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7
FDY40,12.6,Regular,High,Frozen Foods,51.07,OUT019,1985,Small,Tier 1,Grocery Store,147.81
FDY45,12.6,Low Fat,Low,Snack Foods,255.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.36
FDC46,17.7,Low Fat,High,Snack Foods,185.43,OUT010,1998,NA,Tier 3,Grocery Store,184.43
FDH19,19.35,Low Fat,Low,Meat,172.57,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.67
FDZ03,13.65,Regular,High,Dairy,186.02,OUT045,2002,NA,Tier 2,Supermarket Type1,1118.54
DRH37,17.6,Low Fat,Low,Soft Drinks,164.85,OUT045,2002,NA,Tier 2,Supermarket Type1,2302.34
NCI17,8.64,Low Fat,High,Health and Hygiene,95.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.36
FDJ58,15.6,Regular,High,Snack Foods,170.18,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.53
FDL12,15.85,Regular,High,Baking Goods,59.22,OUT013,1987,Large,Tier 3,Supermarket Type1,599.22
FDH35,18.25,Low Fat,High,Starchy Foods,164.75,OUT045,2002,NA,Tier 2,Supermarket Type1,4604.67
FDG02,7.86,Low Fat,Low,Canned,189.62,OUT017,2007,NA,Tier 2,Supermarket Type1,2285.03
NCZ18,7.82,low fat,High,Household,254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.74
FDC29,8.39,Regular,Low,Frozen Foods,114.02,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.35
FDQ10,12.85,Low Fat,Low,Snack Foods,172.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.1
FDN48,12.6,Low Fat,High,Baking Goods,89.98,OUT019,1985,Small,Tier 1,Grocery Store,643.16
FDL04,19.0,Low Fat,High,Frozen Foods,104.96,OUT017,2007,NA,Tier 2,Supermarket Type1,1587.93
FDV25,5.9,Low Fat,High,Canned,222.55,OUT045,2002,NA,Tier 2,Supermarket Type1,5305.09
FDD58,7.76,Low Fat,High,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
FDN04,11.8,Regular,Low,Frozen Foods,180.33,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.48
FDV45,16.75,low fat,High,Snack Foods,187.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,12.6,Low Fat,High,Household,194.61,OUT019,1985,Small,Tier 1,Grocery Store,583.24
FDR12,12.6,Regular,Low,Baking Goods,171.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.98
FDG20,15.5,Regular,High,Fruits and Vegetables,177.0,OUT017,2007,NA,Tier 2,Supermarket Type1,2479.44
FDZ55,6.06,Low Fat,Low,Fruits and Vegetables,160.99,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.46
FDQ49,12.6,Regular,Low,Breakfast,155.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.72
FDN33,6.3,Regular,High,Snack Foods,95.64,OUT046,1997,Small,Tier 1,Supermarket Type1,661.81
